Food Item,Category,Meal Type,Cuisine Region,Calories (kcal),Carbohydrates (g),Proteins (g),Fats (g),Fiber (g),Calcium (mg),Iron (mg),Magnesium (mg),Potassium (mg),Vitamin A (µg),Vitamin C (mg),Vitamin B12 (µg),Serving Size (g/ml),Dietary Preference,Preparation Time (minutes),Veg/Non-Veg,Preferred For,Cheat Meal
Homemade Protein Bar,Vegetarian,Snacks,Western,309,20,40,16,-3,215,0.0,8.1,143,45,13,180.0,259,General Fitness,-3,Veg,Muscle Gain,No
Baked Fish with Brown Rice,Non-Vegetarian,Dinner,Western,475,41,49,11,2,257,-7.0,1.8,153,62,7,194.0,279,Muscle Gain,7,Non-Veg,Muscle Gain,No
Paneer Bhurji with Multigrain Roti,Vegetarian,Dinner,North Indian,411,27,56,14,11,201,-1.0,-3.0,125,48,12,182.0,235,Muscle Gain,15,Veg,Muscle Gain,No
Baked Fish with Brown Rice,Non-Vegetarian,Dinner,Western,474,30,53,13,6,259,-6.0,8.8,162,64,19,194.0,266,Muscle Gain,13,Non-Veg,Muscle Gain,No
Egg and Avocado Wrap,Non-Vegetarian,Lunch,Fusion,416,51,19,16,5,240,4.0,1.7,166,57,15,175.0,247,Muscle Gain,19,Non-Veg,Muscle Gain,No
Homemade Protein Bar,Vegetarian,Snacks,Western,297,15,42,9,14,214,-3.0,-2.9,141,57,13,190.0,252,General Fitness,12,Veg,Muscle Gain,No
Steamed Chicken with Brown Rice,Non-Vegetarian,Lunch,Asian,440,46,60,7,1,262,14.0,-4.2,184,74,17,203.0,283,Muscle Gain,7,Non-Veg,Muscle Gain,No
Steamed Chicken with Brown Rice,Non-Vegetarian,Lunch,Asian,456,41,56,11,9,257,0.0,3.8,173,74,8,203.0,274,Muscle Gain,17,Non-Veg,Muscle Gain,No
Baked Fish with Brown Rice,Non-Vegetarian,Dinner,Western,466,41,47,4,14,240,3.0,3.8,166,62,10,198.0,265,Muscle Gain,6,Non-Veg,Muscle Gain,No
Egg and Avocado Wrap,Non-Vegetarian,Lunch,Fusion,426,51,37,20,1,221,11.0,4.7,158,62,6,183.0,244,Muscle Gain,6,Non-Veg,Muscle Gain,No
Soybean and Vegetable Stir-Fry,Vegetarian,Dinner,Asian,373,20,57,14,12,214,-7.0,1.6,145,74,10,165.0,244,Muscle Gain,2,Veg,Muscle Gain,No
Baked Fish with Brown Rice,Non-Vegetarian,Dinner,Western,479,36,45,19,5,258,2.0,1.8,160,77,19,207.0,268,Muscle Gain,5,Non-Veg,Muscle Gain,No
Egg and Avocado Wrap,Non-Vegetarian,Lunch,Fusion,430,44,32,16,14,231,11.0,8.7,160,64,19,177.0,230,Muscle Gain,17,Non-Veg,Muscle Gain,No
Homemade Protein Bar,Vegetarian,Snacks,Western,293,24,36,18,1,214,-1.0,10.1,137,59,7,185.0,255,General Fitness,12,Veg,Muscle Gain,No
Homemade Protein Bar,Vegetarian,Snacks,Western,309,11,39,10,-1,210,14.0,2.1,146,47,7,178.0,253,General Fitness,3,Veg,Muscle Gain,No
Paneer Bhurji with Multigrain Roti,Vegetarian,Dinner,North Indian,420,24,49,12,11,203,-2.0,-5.0,124,55,11,179.0,234,Muscle Gain,12,Veg,Muscle Gain,No
Steamed Chicken with Brown Rice,Non-Vegetarian,Lunch,Asian,447,33,46,13,14,268,7.0,-8.2,179,75,20,192.0,271,Muscle Gain,24,Non-Veg,Muscle Gain,No
Steamed Chicken with Brown Rice,Non-Vegetarian,Lunch,Asian,456,38,46,14,2,258,-4.0,-3.2,185,62,9,201.0,282,Muscle Gain,24,Non-Veg,Muscle Gain,No
Steamed Chicken with Brown Rice,Non-Vegetarian,Lunch,Asian,453,36,47,15,12,265,-4.0,5.8,188,68,5,209.0,288,Muscle Gain,15,Non-Veg,Muscle Gain,No
Tofu and Broccoli Stir Fry,Vegetarian,Dinner,Asian,381,21,57,9,-4,185,8.0,0.7,121,68,14,162.0,211,Muscle Gain,13,Veg,Muscle Gain,No
Homemade Protein Bar,Vegetarian,Snacks,Western,308,29,45,19,7,200,-4.0,1.1,143,52,20,187.0,240,General Fitness,3,Veg,Muscle Gain,No
Steamed Chicken with Brown Rice,Non-Vegetarian,Lunch,Asian,442,39,64,8,9,264,-5.0,1.8,185,72,15,199.0,278,Muscle Gain,20,Non-Veg,Muscle Gain,No
Homemade Protein Bar,Vegetarian,Snacks,Western,303,23,33,6,5,209,15.0,-1.9,142,53,4,171.0,256,General Fitness,5,Veg,Muscle Gain,No
Soybean and Vegetable Stir-Fry,Vegetarian,Dinner,Asian,389,30,44,7,13,223,-3.0,5.6,157,57,16,167.0,236,Muscle Gain,16,Veg,Muscle Gain,No
Egg White Omelet with Spinach,Non-Vegetarian,Breakfast,Western,317,31,29,12,2,159,5.0,11.5,99,44,17,122.0,180,Weight Loss,15,Non-Veg,General Fitness,No
Egg White Omelet with Spinach,Non-Vegetarian,Breakfast,Western,319,21,29,17,6,145,8.0,0.5,106,48,1,122.0,181,Weight Loss,6,Non-Veg,General Fitness,No
Egg and Avocado Wrap,Non-Vegetarian,Lunch,Fusion,430,60,24,5,14,232,2.0,-7.3,168,54,2,181.0,236,Muscle Gain,8,Non-Veg,Muscle Gain,No
Tofu and Broccoli Stir Fry,Vegetarian,Dinner,Asian,382,31,60,14,-1,196,13.0,-4.3,136,62,1,151.0,215,Muscle Gain,14,Veg,Muscle Gain,No
Sprouts and Peanut Chaat,Vegetarian,Snacks,Indian,273,19,39,1,-3,164,-1.0,-4.7,83,40,18,144.0,208,Weight Loss,-3,Veg,General Fitness,No
Tofu and Broccoli Stir Fry,Vegetarian,Dinner,Asian,384,21,50,12,8,183,6.0,3.7,139,53,3,165.0,211,Muscle Gain,1,Veg,Muscle Gain,No
Soybean and Vegetable Stir-Fry,Vegetarian,Dinner,Asian,378,22,58,4,6,229,4.0,-1.4,143,56,7,180.0,235,Muscle Gain,12,Veg,Muscle Gain,No
Soybean and Vegetable Stir-Fry,Vegetarian,Dinner,Asian,373,30,44,17,15,225,10.0,3.6,160,57,11,161.0,239,Muscle Gain,5,Veg,Muscle Gain,No
Tofu and Broccoli Stir Fry,Vegetarian,Dinner,Asian,389,26,53,13,-3,197,8.0,1.7,132,70,14,161.0,221,Muscle Gain,10,Veg,Muscle Gain,No
Homemade Protein Bar,Vegetarian,Snacks,Western,296,21,33,10,0,219,2.0,-1.9,150,65,16,182.0,251,General Fitness,-3,Veg,Muscle Gain,No
Paneer Bhurji with Multigrain Roti,Vegetarian,Dinner,North Indian,413,27,45,13,4,209,-3.0,5.0,128,54,8,178.0,233,Muscle Gain,9,Veg,Muscle Gain,No
Sprouts and Peanut Chaat,Vegetarian,Snacks,Indian,280,19,45,16,11,160,-3.0,0.30000000000000004,89,48,-1,140.0,190,Weight Loss,13,Veg,General Fitness,No
Soybean and Vegetable Stir-Fry,Vegetarian,Dinner,Asian,378,31,45,19,7,216,0.0,-7.4,154,74,16,169.0,235,Muscle Gain,12,Veg,Muscle Gain,No
Steamed Chicken with Brown Rice,Non-Vegetarian,Lunch,Asian,453,50,54,14,0,269,14.0,2.8,187,73,2,206.0,281,Muscle Gain,6,Non-Veg,Muscle Gain,No
Paneer Bhurji with Multigrain Roti,Vegetarian,Dinner,North Indian,429,29,47,12,13,205,4.0,3.0,132,65,14,186.0,244,Muscle Gain,16,Veg,Muscle Gain,No
Sprouts and Peanut Chaat,Vegetarian,Snacks,Indian,281,14,38,13,15,172,6.0,10.3,98,50,5,144.0,210,Weight Loss,9,Veg,General Fitness,No
Steamed Chicken with Brown Rice,Non-Vegetarian,Lunch,Asian,449,52,49,22,10,260,-6.0,-5.2,189,65,10,201.0,284,Muscle Gain,7,Non-Veg,Muscle Gain,No
Homemade Protein Bar,Vegetarian,Snacks,Western,301,20,39,19,16,214,15.0,-2.9,131,59,5,172.0,250,General Fitness,-7,Veg,Muscle Gain,No
Paneer Bhurji with Multigrain Roti,Vegetarian,Dinner,North Indian,421,36,61,11,15,198,4.0,8.0,132,54,10,190.0,249,Muscle Gain,10,Veg,Muscle Gain,No
Steamed Chicken with Brown Rice,Non-Vegetarian,Lunch,Asian,441,46,49,10,2,267,12.0,4.8,172,79,9,209.0,284,Muscle Gain,17,Non-Veg,Muscle Gain,No
Tofu and Broccoli Stir Fry,Vegetarian,Dinner,Asian,392,28,57,7,4,190,9.0,8.7,134,65,16,160.0,219,Muscle Gain,1,Veg,Muscle Gain,No
Paneer Bhurji with Multigrain Roti,Vegetarian,Dinner,North Indian,414,31,45,11,2,193,4.0,9.0,123,52,11,176.0,239,Muscle Gain,7,Veg,Muscle Gain,No
Soybean and Vegetable Stir-Fry,Vegetarian,Dinner,Asian,384,35,48,0,9,227,-2.0,4.6,156,62,16,173.0,241,Muscle Gain,7,Veg,Muscle Gain,No
Paneer Bhurji with Multigrain Roti,Vegetarian,Dinner,North Indian,414,33,49,18,9,199,-5.0,7.0,139,65,4,185.0,238,Muscle Gain,13,Veg,Muscle Gain,No
Egg White Omelet with Spinach,Non-Vegetarian,Breakfast,Western,317,32,24,-2,0,154,11.0,-2.5,99,47,10,124.0,175,Weight Loss,2,Non-Veg,General Fitness,No
Paneer Bhurji with Multigrain Roti,Vegetarian,Dinner,North Indian,425,38,54,14,14,209,5.0,7.0,124,49,1,177.0,245,Muscle Gain,10,Veg,Muscle Gain,No
Paneer Bhurji with Multigrain Roti,Vegetarian,Dinner,North Indian,413,38,56,17,4,202,-2.0,5.0,123,54,8,177.0,234,Muscle Gain,0,Veg,Muscle Gain,No
Egg and Avocado Wrap,Non-Vegetarian,Lunch,Fusion,424,47,29,22,9,232,-6.0,1.7,165,62,15,183.0,231,Muscle Gain,20,Non-Veg,Muscle Gain,No
Egg White Omelet with Spinach,Non-Vegetarian,Breakfast,Western,315,34,14,-1,2,150,10.0,9.5,107,55,1,130.0,189,Weight Loss,3,Non-Veg,General Fitness,No
Sprouts and Peanut Chaat,Vegetarian,Snacks,Indian,277,13,43,14,12,180,0.0,10.3,81,47,-1,145.0,192,Weight Loss,6,Veg,General Fitness,No
Baked Fish with Brown Rice,Non-Vegetarian,Dinner,Western,461,44,40,4,13,250,-2.0,8.8,163,67,7,202.0,278,Muscle Gain,5,Non-Veg,Muscle Gain,No
Steamed Chicken with Brown Rice,Non-Vegetarian,Lunch,Asian,458,44,57,3,2,260,13.0,2.8,173,78,15,191.0,279,Muscle Gain,25,Non-Veg,Muscle Gain,No
Steamed Chicken with Brown Rice,Non-Vegetarian,Lunch,Asian,454,37,61,14,5,250,1.0,2.8,170,64,20,210.0,271,Muscle Gain,6,Non-Veg,Muscle Gain,No
Baked Fish with Brown Rice,Non-Vegetarian,Dinner,Western,475,31,48,9,8,252,-3.0,1.8,153,79,11,193.0,262,Muscle Gain,11,Non-Veg,Muscle Gain,No
Egg and Avocado Wrap,Non-Vegetarian,Lunch,Fusion,423,60,28,16,10,226,8.0,-2.3,150,63,14,179.0,235,Muscle Gain,0,Non-Veg,Muscle Gain,No
Sprouts and Peanut Chaat,Vegetarian,Snacks,Indian,282,9,33,8,12,174,-2.0,-7.7,90,35,3,138.0,198,Weight Loss,3,Veg,General Fitness,No
Tofu and Broccoli Stir Fry,Vegetarian,Dinner,Asian,381,38,50,19,13,192,0.0,-5.3,140,63,7,158.0,215,Muscle Gain,13,Veg,Muscle Gain,No
Egg White Omelet with Spinach,Non-Vegetarian,Breakfast,Western,314,22,24,2,9,148,12.0,-0.5,110,42,12,115.0,172,Weight Loss,-1,Non-Veg,General Fitness,No
Baked Fish with Brown Rice,Non-Vegetarian,Dinner,Western,464,47,47,5,9,244,-7.0,6.8,164,78,4,203.0,267,Muscle Gain,17,Non-Veg,Muscle Gain,No
Steamed Chicken with Brown Rice,Non-Vegetarian,Lunch,Asian,441,47,46,9,10,250,13.0,3.8,188,61,9,198.0,279,Muscle Gain,5,Non-Veg,Muscle Gain,No
Tofu and Broccoli Stir Fry,Vegetarian,Dinner,Asian,382,23,54,2,6,198,2.0,10.7,140,62,0,168.0,221,Muscle Gain,15,Veg,Muscle Gain,No
Baked Fish with Brown Rice,Non-Vegetarian,Dinner,Western,476,34,56,8,4,242,7.0,-7.2,155,67,12,200.0,273,Muscle Gain,10,Non-Veg,Muscle Gain,No
Baked Fish with Brown Rice,Non-Vegetarian,Dinner,Western,474,29,54,19,0,250,5.0,-0.19999999999999996,159,77,15,192.0,260,Muscle Gain,5,Non-Veg,Muscle Gain,No
Tofu and Broccoli Stir Fry,Vegetarian,Dinner,Asian,393,19,51,7,9,181,0.0,2.7,128,57,7,169.0,225,Muscle Gain,7,Veg,Muscle Gain,No
Sprouts and Peanut Chaat,Vegetarian,Snacks,Indian,278,23,26,11,14,175,5.0,-8.7,91,47,14,145.0,197,Weight Loss,1,Veg,General Fitness,No
Paneer Bhurji with Multigrain Roti,Vegetarian,Dinner,North Indian,430,40,53,14,14,190,10.0,-4.0,138,57,0,172.0,230,Muscle Gain,16,Veg,Muscle Gain,No
Paneer Bhurji with Multigrain Roti,Vegetarian,Dinner,North Indian,411,22,54,6,7,201,2.0,-2.0,122,61,1,175.0,246,Muscle Gain,0,Veg,Muscle Gain,No
Baked Fish with Brown Rice,Non-Vegetarian,Dinner,Western,469,45,40,12,-3,246,2.0,11.8,165,70,21,201.0,263,Muscle Gain,6,Non-Veg,Muscle Gain,No
Homemade Protein Bar,Vegetarian,Snacks,Western,300,23,36,3,4,204,4.0,-0.8999999999999999,140,52,19,190.0,241,General Fitness,9,Veg,Muscle Gain,No
Egg and Avocado Wrap,Non-Vegetarian,Lunch,Fusion,412,41,35,5,3,226,-1.0,6.7,163,60,11,187.0,236,Muscle Gain,4,Non-Veg,Muscle Gain,No
Baked Fish with Brown Rice,Non-Vegetarian,Dinner,Western,474,30,47,24,9,254,5.0,-0.19999999999999996,152,62,8,195.0,260,Muscle Gain,9,Non-Veg,Muscle Gain,No
Egg and Avocado Wrap,Non-Vegetarian,Lunch,Fusion,422,42,20,17,9,237,7.0,-1.3,160,59,5,178.0,240,Muscle Gain,10,Non-Veg,Muscle Gain,No
Homemade Protein Bar,Vegetarian,Snacks,Western,302,14,47,4,10,208,4.0,2.1,131,47,0,179.0,255,General Fitness,-5,Veg,Muscle Gain,No
Egg White Omelet with Spinach,Non-Vegetarian,Breakfast,Western,320,20,25,5,13,149,9.0,-2.5,92,49,15,111.0,182,Weight Loss,0,Non-Veg,General Fitness,No
Egg White Omelet with Spinach,Non-Vegetarian,Breakfast,Western,327,22,29,2,-3,153,6.0,6.5,92,49,10,129.0,176,Weight Loss,15,Non-Veg,General Fitness,No
Egg and Avocado Wrap,Non-Vegetarian,Lunch,Fusion,413,42,26,9,4,225,2.0,3.7,158,47,7,182.0,248,Muscle Gain,11,Non-Veg,Muscle Gain,No
Soybean and Vegetable Stir-Fry,Vegetarian,Dinner,Asian,390,30,47,7,6,227,-2.0,1.6,150,60,10,174.0,230,Muscle Gain,10,Veg,Muscle Gain,No
Egg and Avocado Wrap,Non-Vegetarian,Lunch,Fusion,424,51,29,16,5,240,5.0,-1.3,164,64,12,180.0,242,Muscle Gain,6,Non-Veg,Muscle Gain,No
Steamed Chicken with Brown Rice,Non-Vegetarian,Lunch,Asian,459,35,55,14,16,252,-4.0,-4.2,171,63,19,207.0,279,Muscle Gain,5,Non-Veg,Muscle Gain,No
Egg and Avocado Wrap,Non-Vegetarian,Lunch,Fusion,425,53,24,15,-2,235,-5.0,8.7,160,61,16,188.0,247,Muscle Gain,17,Non-Veg,Muscle Gain,No
Sprouts and Peanut Chaat,Vegetarian,Snacks,Indian,281,18,43,1,16,174,-6.0,-5.7,97,44,18,144.0,208,Weight Loss,12,Veg,General Fitness,No
Sprouts and Peanut Chaat,Vegetarian,Snacks,Indian,276,19,35,20,-3,162,-3.0,5.3,99,43,14,131.0,208,Weight Loss,14,Veg,General Fitness,No
Steamed Chicken with Brown Rice,Non-Vegetarian,Lunch,Asian,450,51,65,15,2,261,4.0,7.8,182,71,15,195.0,282,Muscle Gain,15,Non-Veg,Muscle Gain,No
Egg White Omelet with Spinach,Non-Vegetarian,Breakfast,Western,322,35,12,12,1,153,9.0,1.5,101,41,6,114.0,177,Weight Loss,15,Non-Veg,General Fitness,No
Steamed Chicken with Brown Rice,Non-Vegetarian,Lunch,Asian,460,50,55,17,8,260,-5.0,3.8,177,67,13,190.0,287,Muscle Gain,7,Non-Veg,Muscle Gain,No
Tofu and Broccoli Stir Fry,Vegetarian,Dinner,Asian,398,29,49,11,10,183,6.0,-5.3,121,61,4,155.0,224,Muscle Gain,15,Veg,Muscle Gain,No
Sprouts and Peanut Chaat,Vegetarian,Snacks,Indian,286,16,25,10,-3,161,-4.0,3.3,99,30,14,149.0,194,Weight Loss,16,Veg,General Fitness,No
Steamed Chicken with Brown Rice,Non-Vegetarian,Lunch,Asian,457,38,52,11,6,269,2.0,3.8,176,61,19,208.0,279,Muscle Gain,8,Non-Veg,Muscle Gain,No
Soybean and Vegetable Stir-Fry,Vegetarian,Dinner,Asian,381,27,40,4,12,218,4.0,10.6,155,57,5,161.0,239,Muscle Gain,5,Veg,Muscle Gain,No
Steamed Chicken with Brown Rice,Non-Vegetarian,Lunch,Asian,457,34,48,3,8,270,11.0,8.8,188,72,19,194.0,276,Muscle Gain,14,Non-Veg,Muscle Gain,No
Tofu and Broccoli Stir Fry,Vegetarian,Dinner,Asian,392,37,51,2,-2,198,13.0,8.7,135,67,16,164.0,210,Muscle Gain,6,Veg,Muscle Gain,No
Soybean and Vegetable Stir-Fry,Vegetarian,Dinner,Asian,373,34,59,13,10,230,5.0,-0.3999999999999999,158,69,15,164.0,248,Muscle Gain,16,Veg,Muscle Gain,No
Tofu and Broccoli Stir Fry,Vegetarian,Dinner,Asian,398,34,55,20,-4,182,-6.0,11.7,120,70,1,160.0,215,Muscle Gain,11,Veg,Muscle Gain,No
Paneer Bhurji with Multigrain Roti,Vegetarian,Dinner,North Indian,415,34,57,12,9,199,12.0,-8.0,140,45,20,180.0,246,Muscle Gain,15,Veg,Muscle Gain,No
Paneer Bhurji with Multigrain Roti,Vegetarian,Dinner,North Indian,426,32,53,10,1,205,-3.0,-3.0,123,54,13,179.0,235,Muscle Gain,1,Veg,Muscle Gain,No
Paneer Bhurji with Multigrain Roti,Vegetarian,Dinner,North Indian,420,37,55,13,0,190,12.0,12.0,129,45,7,183.0,235,Muscle Gain,7,Veg,Muscle Gain,No
Paneer Bhurji with Multigrain Roti,Vegetarian,Dinner,North Indian,426,40,60,8,9,193,-3.0,3.0,135,51,14,174.0,243,Muscle Gain,6,Veg,Muscle Gain,No
Egg White Omelet with Spinach,Non-Vegetarian,Breakfast,Western,326,23,19,5,-1,160,12.0,-5.5,93,46,16,113.0,174,Weight Loss,-1,Non-Veg,General Fitness,No
Egg White Omelet with Spinach,Non-Vegetarian,Breakfast,Western,315,31,19,6,-4,159,-3.0,-1.5,106,36,8,113.0,176,Weight Loss,-1,Non-Veg,General Fitness,No
Steamed Chicken with Brown Rice,Non-Vegetarian,Lunch,Asian,451,41,47,15,11,260,-4.0,6.8,185,66,18,193.0,276,Muscle Gain,6,Non-Veg,Muscle Gain,No
Baked Fish with Brown Rice,Non-Vegetarian,Dinner,Western,474,37,52,10,13,251,-1.0,2.8,155,67,7,190.0,274,Muscle Gain,9,Non-Veg,Muscle Gain,No
Steamed Chicken with Brown Rice,Non-Vegetarian,Lunch,Asian,450,42,57,21,6,264,9.0,7.8,184,68,18,200.0,277,Muscle Gain,22,Non-Veg,Muscle Gain,No
Egg White Omelet with Spinach,Non-Vegetarian,Breakfast,Western,316,20,29,4,-5,152,-5.0,6.5,110,39,14,124.0,190,Weight Loss,3,Non-Veg,General Fitness,No
Paneer Bhurji with Multigrain Roti,Vegetarian,Dinner,North Indian,413,20,45,25,14,193,14.0,8.0,123,57,14,173.0,237,Muscle Gain,19,Veg,Muscle Gain,No
Egg White Omelet with Spinach,Non-Vegetarian,Breakfast,Western,317,25,21,6,-3,145,-6.0,6.5,104,38,10,114.0,176,Weight Loss,15,Non-Veg,General Fitness,No
Egg and Avocado Wrap,Non-Vegetarian,Lunch,Fusion,414,45,29,23,15,239,9.0,-4.3,154,51,2,190.0,248,Muscle Gain,11,Non-Veg,Muscle Gain,No
Paneer Bhurji with Multigrain Roti,Vegetarian,Dinner,North Indian,422,38,51,6,14,210,-5.0,11.0,129,62,13,181.0,242,Muscle Gain,8,Veg,Muscle Gain,No
Homemade Protein Bar,Vegetarian,Snacks,Western,301,27,48,8,7,212,15.0,4.1,145,45,11,182.0,243,General Fitness,-5,Veg,Muscle Gain,No
Steamed Chicken with Brown Rice,Non-Vegetarian,Lunch,Asian,451,46,55,17,6,250,12.0,-8.2,190,66,8,203.0,285,Muscle Gain,12,Non-Veg,Muscle Gain,No
Paneer Bhurji with Multigrain Roti,Vegetarian,Dinner,North Indian,422,28,61,24,6,191,1.0,5.0,125,48,10,179.0,235,Muscle Gain,15,Veg,Muscle Gain,No
Tofu and Broccoli Stir Fry,Vegetarian,Dinner,Asian,380,20,44,22,3,181,-1.0,5.7,122,58,6,150.0,221,Muscle Gain,18,Veg,Muscle Gain,No
Steamed Chicken with Brown Rice,Non-Vegetarian,Lunch,Asian,453,49,57,10,11,264,14.0,4.8,178,62,15,198.0,290,Muscle Gain,8,Non-Veg,Muscle Gain,No
Baked Fish with Brown Rice,Non-Vegetarian,Dinner,Western,469,39,44,23,3,240,7.0,1.8,166,71,15,193.0,265,Muscle Gain,24,Non-Veg,Muscle Gain,No
Baked Fish with Brown Rice,Non-Vegetarian,Dinner,Western,466,36,45,11,16,253,-7.0,-1.2,155,72,4,208.0,271,Muscle Gain,21,Non-Veg,Muscle Gain,No
Egg White Omelet with Spinach,Non-Vegetarian,Breakfast,Western,318,32,21,15,10,154,9.0,-4.5,109,40,0,115.0,187,Weight Loss,-4,Non-Veg,General Fitness,No
Baked Fish with Brown Rice,Non-Vegetarian,Dinner,Western,467,33,40,6,7,245,0.0,-6.2,162,64,8,207.0,269,Muscle Gain,18,Non-Veg,Muscle Gain,No
Egg and Avocado Wrap,Non-Vegetarian,Lunch,Fusion,415,48,26,20,8,225,7.0,-1.3,162,45,15,176.0,231,Muscle Gain,1,Non-Veg,Muscle Gain,No
Baked Fish with Brown Rice,Non-Vegetarian,Dinner,Western,462,40,44,19,0,245,-7.0,11.8,164,65,13,196.0,276,Muscle Gain,24,Non-Veg,Muscle Gain,No
Egg White Omelet with Spinach,Non-Vegetarian,Breakfast,Western,314,16,30,7,-2,158,-4.0,1.5,108,47,7,120.0,176,Weight Loss,12,Non-Veg,General Fitness,No
Egg White Omelet with Spinach,Non-Vegetarian,Breakfast,Western,327,35,28,3,0,141,-2.0,-6.5,110,43,16,130.0,170,Weight Loss,-1,Non-Veg,General Fitness,No
Sprouts and Peanut Chaat,Vegetarian,Snacks,Indian,273,8,30,0,-2,180,-6.0,0.30000000000000004,95,39,1,142.0,196,Weight Loss,11,Veg,General Fitness,No
Egg White Omelet with Spinach,Non-Vegetarian,Breakfast,Western,327,34,29,3,1,141,13.0,3.5,100,42,0,114.0,184,Weight Loss,1,Non-Veg,General Fitness,No
Soybean and Vegetable Stir-Fry,Vegetarian,Dinner,Asian,385,39,54,10,8,216,-3.0,0.6000000000000001,145,64,5,180.0,234,Muscle Gain,0,Veg,Muscle Gain,No
Egg and Avocado Wrap,Non-Vegetarian,Lunch,Fusion,423,57,34,16,1,222,-6.0,3.7,158,65,2,174.0,241,Muscle Gain,20,Non-Veg,Muscle Gain,No
Sprouts and Peanut Chaat,Vegetarian,Snacks,Indian,284,22,39,20,10,173,6.0,5.3,94,50,13,145.0,193,Weight Loss,12,Veg,General Fitness,No
Egg and Avocado Wrap,Non-Vegetarian,Lunch,Fusion,422,54,30,25,15,235,3.0,-7.3,154,65,15,174.0,231,Muscle Gain,6,Non-Veg,Muscle Gain,No
Soybean and Vegetable Stir-Fry,Vegetarian,Dinner,Asian,376,32,40,15,1,215,-6.0,-7.4,142,55,7,163.0,245,Muscle Gain,16,Veg,Muscle Gain,No
Egg and Avocado Wrap,Non-Vegetarian,Lunch,Fusion,412,50,33,8,13,240,-5.0,-1.3,150,52,11,183.0,244,Muscle Gain,6,Non-Veg,Muscle Gain,No
Steamed Chicken with Brown Rice,Non-Vegetarian,Lunch,Asian,457,40,62,17,4,256,10.0,2.8,189,78,8,208.0,281,Muscle Gain,7,Non-Veg,Muscle Gain,No
Tofu and Broccoli Stir Fry,Vegetarian,Dinner,Asian,383,29,54,13,12,197,-7.0,7.7,122,51,4,166.0,213,Muscle Gain,12,Veg,Muscle Gain,No
Tofu and Broccoli Stir Fry,Vegetarian,Dinner,Asian,382,32,53,14,1,196,-3.0,4.7,131,68,20,166.0,226,Muscle Gain,10,Veg,Muscle Gain,No
Soybean and Vegetable Stir-Fry,Vegetarian,Dinner,Asian,377,32,56,5,-2,229,5.0,-1.4,149,58,22,173.0,244,Muscle Gain,5,Veg,Muscle Gain,No
Baked Fish with Brown Rice,Non-Vegetarian,Dinner,Western,463,28,56,21,14,254,-7.0,0.8,153,71,5,191.0,268,Muscle Gain,24,Non-Veg,Muscle Gain,No
Egg White Omelet with Spinach,Non-Vegetarian,Breakfast,Western,323,29,11,18,6,147,6.0,-4.5,109,54,10,113.0,190,Weight Loss,1,Non-Veg,General Fitness,No
Paneer Bhurji with Multigrain Roti,Vegetarian,Dinner,North Indian,410,20,58,7,10,204,7.0,12.0,124,53,11,186.0,234,Muscle Gain,17,Veg,Muscle Gain,No
Tofu and Broccoli Stir Fry,Vegetarian,Dinner,Asian,381,36,48,2,3,197,-1.0,7.7,130,67,20,156.0,212,Muscle Gain,-1,Veg,Muscle Gain,No
Steamed Chicken with Brown Rice,Non-Vegetarian,Lunch,Asian,453,39,63,22,13,257,-6.0,8.8,190,60,19,206.0,272,Muscle Gain,16,Non-Veg,Muscle Gain,No
Tofu and Broccoli Stir Fry,Vegetarian,Dinner,Asian,385,36,49,21,8,190,8.0,-3.3,135,64,16,157.0,227,Muscle Gain,9,Veg,Muscle Gain,No
Egg and Avocado Wrap,Non-Vegetarian,Lunch,Fusion,413,47,38,10,7,237,11.0,5.7,168,51,14,186.0,237,Muscle Gain,13,Non-Veg,Muscle Gain,No
Steamed Chicken with Brown Rice,Non-Vegetarian,Lunch,Asian,447,43,48,4,6,269,11.0,-3.2,189,77,9,190.0,289,Muscle Gain,14,Non-Veg,Muscle Gain,No
Homemade Protein Bar,Vegetarian,Snacks,Western,293,28,43,10,13,213,1.0,11.1,142,56,8,186.0,258,General Fitness,0,Veg,Muscle Gain,No
Egg and Avocado Wrap,Non-Vegetarian,Lunch,Fusion,415,53,30,5,14,238,0.0,0.7,163,50,18,189.0,238,Muscle Gain,11,Non-Veg,Muscle Gain,No
Homemade Protein Bar,Vegetarian,Snacks,Western,291,12,50,4,0,219,12.0,-7.9,135,63,20,176.0,245,General Fitness,-2,Veg,Muscle Gain,No
Steamed Chicken with Brown Rice,Non-Vegetarian,Lunch,Asian,442,49,60,20,5,254,-4.0,9.8,190,68,8,202.0,287,Muscle Gain,13,Non-Veg,Muscle Gain,No
Homemade Protein Bar,Vegetarian,Snacks,Western,309,13,30,9,7,207,8.0,-0.8999999999999999,149,64,0,173.0,251,General Fitness,8,Veg,Muscle Gain,No
Sprouts and Peanut Chaat,Vegetarian,Snacks,Indian,288,21,27,12,9,166,-4.0,-5.7,89,49,4,140.0,197,Weight Loss,6,Veg,General Fitness,No
Homemade Protein Bar,Vegetarian,Snacks,Western,309,11,46,0,4,216,-4.0,-3.9,136,59,11,178.0,245,General Fitness,13,Veg,Muscle Gain,No
Homemade Protein Bar,Vegetarian,Snacks,Western,305,11,48,9,5,206,13.0,12.1,135,55,12,185.0,244,General Fitness,7,Veg,Muscle Gain,No
